City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
Suzaka,JP,36.65,138.32,60.01,85,54,1.01,broken clouds
Saint George,US,37.1,-113.58,87.01,12,1,5.28,clear sky
Pakxan,LA,18.38,103.66,71.94,83,99,2.62,overcast clouds
Rocha,UY,-34.48,-54.33,52.18,94,1,3.71,clear sky
Puerto Escondido,MX,15.85,-97.07,89.6,66,75,5.82,broken clouds
Dingle,PH,11.0,122.67,75.83,93,100,3.71,overcast clouds
Namibe,AO,-15.2,12.15,62.87,84,30,5.7,scattered clouds
Hauterive,FR,46.09,3.45,48.2,70,90,2.24,overcast clouds
Sitrah,BH,26.15,50.62,82.4,65,0,4.7,clear sky
Bulgan,MN,48.81,103.53,28.72,85,97,2.15,overcast clouds
Akranes,IS,64.32,-22.07,48.2,81,75,9.17,heavy intensity rain
Zhigansk,RU,66.77,123.37,10.45,95,97,11.63,overcast clouds
Charters Towers,AU,-20.1,146.27,72.39,59,26,15.37,scattered clouds
Chokurdakh,RU,70.63,147.92,16.7,95,60,2.59,broken clouds
Hami,CN,42.8,93.45,38.73,70,0,3.69,clear sky
Bethel,US,41.37,-73.41,55.4,93,90,4.7,mist
Sanawad,IN,22.18,76.07,77.18,84,100,5.08,overcast clouds
Quatre Cocos,MU,-20.21,57.76,75.2,78,40,11.41,shower rain
Vila Velha,BR,-20.33,-40.29,77.0,88,90,8.05,overcast clouds
Icod De Los Vinos,ES,28.37,-16.71,77.0,37,3,6.93,clear sky
Faanui,PF,-16.48,-151.75,78.58,75,5,9.62,clear sky
Awjilah,LY,29.11,21.29,69.71,59,0,15.19,clear sky
Rio Grande,BR,-32.03,-52.1,56.59,86,27,4.52,scattered clouds
Deputatskiy,RU,69.3,139.9,11.3,97,79,2.24,broken clouds
Dikson,RU,73.51,80.55,29.26,93,100,4.32,overcast clouds
Moorhead,US,46.87,-96.77,59.0,28,1,20.8,clear sky
Kapit,MY,2.02,112.93,75.24,93,78,0.56,broken clouds
Clyde River,CA,70.47,-68.59,26.6,92,75,10.29,broken clouds
Grindavik,IS,63.84,-22.43,46.4,100,90,27.51,heavy intensity rain
Aklavik,CA,68.22,-135.01,24.8,49,90,5.82,overcast clouds
Turukhansk,RU,65.82,87.98,32.18,99,100,19.24,overcast clouds
Gourbeyre,GP,15.99,-61.69,77.0,94,12,2.24,few clouds
Cockburn Town,TC,21.46,-71.14,83.01,77,83,11.79,broken clouds
Sao Filipe,CV,14.9,-24.5,79.63,75,10,3.0,clear sky
Pevek,RU,69.7,170.31,29.17,85,65,11.27,broken clouds
Thompson,CA,55.74,-97.86,35.6,80,75,13.87,light shower snow
Pochutla,MX,15.74,-96.47,87.8,62,90,4.85,overcast clouds
Ahipara,NZ,-35.17,173.17,62.65,61,100,7.36,overcast clouds
Imbituba,BR,-28.24,-48.67,66.2,77,75,8.05,broken clouds
Los Llanos De Aridane,ES,28.66,-17.92,73.4,83,0,11.41,clear sky
Mezen,RU,65.85,44.24,33.44,92,12,4.92,few clouds
Tasiilaq,GL,65.61,-37.64,37.4,93,100,16.11,light rain
Kandri,IN,21.42,79.27,80.6,74,75,6.93,haze
Kitsuki,JP,33.42,131.62,66.2,77,40,6.93,scattered clouds
Warrington,GB,53.39,-2.58,52.0,93,20,10.29,few clouds
College,US,64.86,-147.8,30.99,46,75,8.05,broken clouds
Sharjah,AE,25.36,55.4,84.2,41,0,3.36,clear sky
Saldanha,ZA,-33.01,17.94,50.0,76,0,5.82,clear sky
Hithadhoo,MV,-0.6,73.08,82.56,72,100,10.47,heavy intensity rain
Komsomolskiy,UZ,40.43,71.72,50.0,66,0,6.93,clear sky
Svetlaya,RU,46.54,138.33,43.84,58,51,12.39,broken clouds
Mingaora,PK,34.78,72.36,60.69,31,0,6.44,clear sky
Almaznyy,RU,48.04,40.05,59.0,77,98,15.66,overcast clouds
Kulachi,PK,31.93,70.46,76.12,29,0,5.08,clear sky
Burnie,AU,-41.07,145.92,50.76,67,46,13.71,scattered clouds
Yellowknife,CA,62.46,-114.35,26.6,53,75,24.16,broken clouds
Los Algarrobos,PA,8.5,-82.43,75.2,88,75,4.7,thunderstorm with light rain
Arman,RU,59.7,150.17,41.9,86,100,27.07,moderate rain
Dabhol,IN,17.6,73.17,75.06,95,100,2.62,overcast clouds
Belyy Yar,RU,53.6,91.39,39.2,100,75,2.57,light intensity shower rain
Buzovna,AZ,40.52,50.11,57.2,87,0,6.93,clear sky
Nexo,DK,55.06,15.13,51.8,76,100,10.29,overcast clouds
Lobito,AO,-12.35,13.55,73.49,78,29,8.81,scattered clouds
Vitim,RU,59.45,112.56,26.82,87,100,8.86,overcast clouds
Kuusamo,FI,65.97,29.18,33.8,86,90,4.7,overcast clouds
Along,IN,28.17,94.77,67.1,85,12,1.9,few clouds
Cabinda,AO,-5.55,12.2,75.34,81,78,8.03,broken clouds
Ponta Delgada,PT,37.73,-25.67,68.0,77,40,13.87,scattered clouds
Eydhafushi,MV,5.1,73.07,83.91,74,37,22.73,scattered clouds
Vyartsilya,RU,62.18,30.69,42.19,95,66,2.13,broken clouds
Mogadishu,SO,2.04,45.34,78.94,84,18,10.25,few clouds
Bairnsdale,AU,-37.83,147.62,66.99,56,84,3.0,broken clouds
Norman Wells,CA,65.28,-126.83,21.2,62,90,6.93,light snow
Tuatapere,NZ,-46.13,167.68,45.0,77,67,14.0,light rain
San Juan,AR,-31.54,-68.54,77.68,22,56,7.36,broken clouds
Westport,US,41.14,-73.36,57.0,99,71,10.92,broken clouds
Benjamin Hill,MX,30.17,-111.1,100.0,41,9,3.0,clear sky
Bredasdorp,ZA,-34.53,20.04,50.0,81,3,1.12,clear sky
Kamenka,RU,51.32,42.77,52.16,58,99,8.86,overcast clouds
Arlit,NE,18.74,7.39,88.81,12,0,1.59,clear sky
Tautira,PF,-17.73,-149.15,86.0,62,20,20.8,few clouds
Spornoye,RU,50.84,37.29,53.6,81,52,6.71,broken clouds
Vila Franca Do Campo,PT,37.72,-25.43,68.0,77,40,13.87,scattered clouds
Hambantota,LK,6.12,81.12,79.95,78,85,22.97,light rain
Kirakira,SB,-10.45,161.92,84.22,68,96,4.85,overcast clouds
Cedar City,US,37.68,-113.06,78.8,7,1,8.05,clear sky
Inongo,CD,-1.95,18.27,72.05,87,29,1.99,light rain
Asheboro,US,35.71,-79.81,71.6,83,1,8.28,clear sky
Aldan,RU,58.6,125.39,17.58,96,100,12.68,light snow
Marystown,CA,47.17,-55.15,44.01,100,0,3.53,clear sky
Vao,NC,-22.67,167.48,73.51,88,0,8.34,clear sky
Lashio,MM,22.93,97.75,62.69,98,75,0.76,broken clouds
Ust-Kuyga,RU,70.02,135.6,11.28,94,82,1.39,broken clouds
Casma,CL,-41.01,-73.12,60.8,67,75,9.17,broken clouds
Senno,RU,59.53,33.92,39.99,94,80,4.21,broken clouds
Victoria,HK,22.29,114.16,78.01,80,100,1.99,overcast clouds
Sur,OM,22.57,59.53,77.13,51,0,12.17,clear sky
Dzaoudzi,YT,-12.79,45.27,80.6,78,90,8.05,overcast clouds
Isangel,VU,-19.55,169.27,82.4,78,40,9.17,scattered clouds
Spirit River,CA,55.78,-118.84,41.0,76,75,11.41,broken clouds
Goderich,CA,43.75,-81.72,59.0,59,46,13.91,scattered clouds
Chernenko,RU,44.37,39.31,65.7,38,93,3.71,overcast clouds
Dubbo,AU,-32.25,148.62,68.0,56,0,13.87,clear sky
La Rioja,ES,42.25,-2.5,53.6,81,75,5.82,broken clouds
Khorixas,NA,-20.37,14.97,62.24,38,0,1.32,clear sky
Kermanshah,IR,34.31,47.06,46.4,16,0,4.7,clear sky
Genhe,CN,50.78,121.52,18.03,88,0,3.87,clear sky
Emmett,US,43.87,-116.5,66.0,68,100,5.01,overcast clouds
Tarakan,ID,3.3,117.63,78.4,87,81,5.08,broken clouds
Shymkent,KZ,42.3,69.6,46.4,49,0,4.47,clear sky
Northam,GB,51.03,-4.22,53.01,86,84,5.99,broken clouds
Katobu,ID,-4.94,122.53,80.08,76,99,1.97,overcast clouds
Mehamn,NO,71.04,27.85,36.52,87,99,12.62,overcast clouds
Kang,BW,-23.68,22.79,69.28,30,0,5.99,clear sky
Melfi,IT,41.0,15.65,48.99,87,5,10.29,clear sky
Whitehorse,CA,60.72,-135.05,37.4,69,40,6.93,shower rain
Geraldton,AU,-28.77,114.6,66.2,82,90,5.82,overcast clouds
Emerald,AU,-23.53,148.17,72.0,64,40,13.87,scattered clouds
Acapulco,MX,16.86,-99.89,87.8,70,40,6.93,scattered clouds
Khatanga,RU,71.97,102.5,10.44,95,43,6.13,scattered clouds
Nacala,MZ,-14.54,40.67,74.59,77,0,10.07,clear sky
Arroyo Grande,US,35.12,-120.59,93.99,47,1,8.05,clear sky
Arraial Do Cabo,BR,-22.97,-42.03,73.22,87,1,29.39,clear sky
Kununurra,AU,-15.77,128.73,78.8,54,0,3.36,clear sky
Karaidel,RU,55.83,56.91,46.8,60,77,8.1,broken clouds
Srandakan,ID,-7.94,110.25,75.99,80,86,5.75,overcast clouds
Grand Gaube,MU,-20.01,57.66,73.99,80,1,4.0,clear sky
Nizwa,OM,22.93,57.53,70.23,21,0,3.27,clear sky
Kieta,PG,-6.22,155.63,77.36,79,100,3.78,overcast clouds
Drochia,MD,48.03,27.82,55.92,80,46,13.4,scattered clouds
Monte Santo,BR,-10.44,-39.33,74.34,55,38,14.2,scattered clouds
Deer Lake,CA,49.17,-57.43,44.6,75,20,4.7,few clouds
Balkanabat,TM,39.51,54.37,62.08,25,0,13.42,clear sky
Winnipeg,CA,49.88,-97.15,53.6,25,20,29.97,few clouds
Hammerfest,NO,70.66,23.68,39.2,86,75,20.8,broken clouds
Zeya,RU,53.75,127.27,24.01,86,10,7.87,clear sky
Muros,ES,42.78,-9.06,52.0,88,98,8.14,overcast clouds
Kadoshkino,RU,54.03,44.42,50.49,66,100,7.07,overcast clouds
Nicoya,CR,10.15,-85.45,82.4,83,75,5.82,light rain
Sawtell,AU,-30.38,153.1,69.8,60,0,9.17,clear sky
Oistins,BB,13.07,-59.53,80.6,83,75,4.7,broken clouds
Tutoia,BR,-2.76,-42.27,80.11,76,24,16.04,few clouds
Naze,JP,28.37,129.48,75.2,83,40,6.93,scattered clouds
Lata,PT,40.16,-8.33,50.0,88,30,4.54,scattered clouds
Ambilobe,MG,-13.2,49.05,73.26,74,34,5.82,scattered clouds
Anadyr,RU,64.75,177.48,32.0,91,40,2.24,scattered clouds
Miass,RU,55.05,60.11,45.1,58,3,6.6,clear sky
Meadow Lake,US,34.8,-106.54,80.01,7,1,4.7,clear sky
Shizunai,JP,42.33,142.37,54.88,59,35,9.42,scattered clouds
Buala,SB,-8.14,159.59,81.5,74,100,3.27,light rain
Grafton,US,42.21,-71.69,53.01,93,90,8.05,mist
Rawson,AR,-43.3,-65.1,70.68,32,67,21.54,broken clouds
Cabo San Lucas,MX,22.89,-109.91,87.8,58,90,8.05,overcast clouds
Kulhudhuffushi,MV,6.62,73.07,81.77,78,9,22.95,light rain
Severo-Kurilsk,RU,50.68,156.12,52.18,90,96,21.5,light rain
Valle De Juarez,MX,19.93,-102.93,69.49,80,50,2.21,light rain
Mareeba,AU,-17.0,145.43,75.0,94,75,10.29,broken clouds
Samagaltay,RU,50.6,95.0,28.31,96,100,0.16,overcast clouds
Benito Juarez,MX,19.39,-99.17,75.2,36,75,16.11,broken clouds
Iskateley,RU,67.68,53.15,33.3,91,57,9.28,broken clouds
Darnah,LY,32.77,22.64,70.66,66,0,9.4,clear sky
Tynda,RU,55.17,124.72,20.35,86,82,9.73,broken clouds
Naryshkino,RU,52.97,35.73,53.17,89,13,7.65,few clouds
Murgab,TM,37.5,61.97,50.0,53,0,3.89,clear sky
Ambovombe,MG,-25.17,46.08,67.06,89,99,11.36,overcast clouds
Iberia,US,29.95,-91.75,84.2,45,1,8.05,clear sky
Aksu,CN,41.12,80.26,48.83,46,40,3.94,scattered clouds
Samalkot,IN,17.05,82.18,77.18,90,99,6.02,overcast clouds
Damghan,IR,36.17,54.35,52.25,38,0,1.72,clear sky
Hasaki,JP,35.73,140.83,66.2,77,75,4.7,broken clouds
Khotyn,UA,48.48,26.5,57.99,84,58,4.0,broken clouds
Manta,EC,-0.95,-80.73,77.0,73,20,13.87,few clouds
Asau,RO,46.43,26.4,48.0,78,12,6.55,few clouds
North Battleford,CA,52.78,-108.28,44.6,52,1,13.87,clear sky
Port-Cartier,CA,50.03,-66.87,41.0,80,75,10.29,broken clouds
Kahului,US,20.89,-156.47,91.4,46,40,17.22,scattered clouds
Ipixuna,BR,-1.76,-48.8,80.6,83,75,5.82,broken clouds
Kurchum,KZ,48.57,83.65,41.0,89,40,3.56,scattered clouds
Tiquicheo,MX,18.88,-100.73,86.74,61,1,2.91,clear sky
Bengkulu,ID,-3.8,102.27,75.13,88,97,3.47,overcast clouds
Vanimo,PG,-2.67,141.3,83.21,75,61,3.24,light rain
Watertown,US,42.37,-71.18,57.99,93,90,11.41,light rain
Santa Cruz Del Sur,CU,20.71,-78.0,82.26,78,98,4.94,overcast clouds
Mahibadhoo,MV,3.78,72.97,82.11,79,52,20.42,light rain
Okha,RU,53.57,142.95,38.28,70,0,15.86,clear sky
Katsuura,JP,35.13,140.3,68.0,77,75,9.17,broken clouds
Linhai,CN,28.85,121.12,69.01,60,95,1.74,overcast clouds
Dicabisagan,PH,17.08,122.42,78.69,84,78,5.41,broken clouds
Hervey Bay,AU,-25.3,152.85,78.01,56,40,12.75,scattered clouds
Souillac,MU,-20.52,57.52,75.2,78,40,11.41,shower rain
Kalmeshwar,IN,21.23,78.9,80.6,74,75,6.93,haze
San Pedro,PH,14.35,121.02,79.0,94,90,2.24,light intensity shower rain
Sola,VU,-13.88,167.55,81.81,70,59,1.92,broken clouds
Samoded,RU,63.61,40.51,38.28,96,72,5.68,broken clouds
Cocobeach,GA,1.0,9.58,78.8,83,40,8.05,light rain
Linfen,CN,36.09,111.52,53.83,61,100,4.79,light rain
Beringovskiy,RU,63.05,179.32,34.52,76,0,2.46,clear sky
Abu Samrah,SY,35.3,37.18,63.01,89,41,6.02,scattered clouds
Kargopol,RU,61.51,38.95,42.93,90,97,8.21,overcast clouds
Chase,CA,50.82,-119.69,46.0,92,100,4.5,light rain
Bontang,ID,0.13,117.5,78.91,85,98,2.57,overcast clouds
Slave Lake,CA,55.28,-114.77,39.2,69,20,4.7,few clouds
Zhangye,CN,38.93,100.45,40.15,56,35,3.15,scattered clouds
Khasan,RU,42.43,130.64,40.96,62,5,14.29,clear sky
Namatanai,PG,-3.67,152.43,79.03,84,100,4.07,light rain
Luangwa,ZM,-15.62,30.42,74.39,72,0,4.27,clear sky
Airai,TL,-8.93,125.41,69.03,40,4,4.14,clear sky
Chipata,ZM,-13.63,32.65,66.06,81,26,6.44,scattered clouds
Ogbomosho,NG,8.13,4.25,72.91,97,100,6.46,overcast clouds
Boundiali,CI,9.52,-6.49,72.61,90,2,2.8,clear sky
Thunder Bay,CA,48.4,-89.32,55.4,63,75,14.99,broken clouds
Kodiak,US,57.79,-152.41,48.2,76,90,10.29,overcast clouds
Khingansk,RU,49.12,131.18,23.92,87,92,13.56,overcast clouds
Nyurba,RU,63.28,118.33,16.99,97,89,2.93,overcast clouds
Port Hawkesbury,CA,45.62,-61.35,48.0,87,75,9.17,broken clouds
Kabalo,CD,-6.05,26.92,68.43,94,13,1.97,few clouds
Dwarka,IN,22.24,68.97,83.86,67,20,13.58,few clouds
Asfi,MA,32.3,-9.24,64.87,77,1,10.67,clear sky
Inirida,CO,3.87,-67.92,78.13,75,42,0.43,scattered clouds
Port Macquarie,AU,-31.43,152.92,72.0,60,0,1.99,clear sky
Fomboni,KM,-12.28,43.74,79.47,82,31,8.63,scattered clouds
